"Word","Word_Spanish","participant_id","age","sex","task_type","rationale"
"art","arte","ABAM6298",35,"female","perceptual","Experimento 'arte' principalmente a través de la vista, ya que la apreciación visual de obras y colores es fundamental. También puedo sentir sensaciones internas y un poco de tacto cuando toco obras o materiales artísticos. La audición puede estar presente en música o sonidos relacionados con el arte, pero en menor medida. El gusto y el olfato no son tan relevantes en la percepción del arte en mi cultura, aunque en algunas expresiones artísticas sí pueden estar presentes."
"power","poder","ABAM6298",35,"female","perceptual","Experimenté 'PODER' principalmente a través de sensaciones internas y el tacto, ya que la sensación de tener poder se relaciona con una presencia física y confianza que se siente en el cuerpo. La vista y la audición también contribuyen, pero en menor medida, ya que el poder a menudo se percibe en la postura, la expresión facial y la voz. No tiene relación con el olfato ni el gusto en mi percepción cotidiana."
"emptiness","vacio","ABAM6298",35,"female","perceptual","Experimenté un poco de sensación de vacío visualmente y a través de sensaciones internas, como una sensación de vacío en el estómago o en el pecho, pero muy poco en el tacto, olfato y gusto. La percepción del vacío es más interna y emocional, por eso las valoraciones son moderadas en la vista y más bajas en los otros sentidos."
"journey","viaje","ABAM6298",35,"female","perceptual","Experimento el concepto de 'viaje' principalmente a través de la vista, ya que generalmente lo visualizo en mapas, fotos o videos. También siento sensaciones internas relacionadas con la emoción y el movimiento, por eso le doy un valor moderado en interoceptivo. La audición es relevante cuando escucho historias o sonidos relacionados con viajes, y el tacto en menor medida, como sentir la textura de objetos o superficies durante el viaje. El olfato y el gusto no están muy relacionados con la idea de viajar en mi percepción cotidiana."
"ocean","oceano","ABAM6298",35,"female","perceptual","Experimento el océano principalmente a través de la vista y el olfato, ya que puedo ver su inmensidad y oler la salinidad del aire y del agua. También siento sensaciones en mi cuerpo por la cercanía y el movimiento del agua, y el sonido de las olas y el viento me conecta con esa experiencia. El gusto no es tan frecuente, pero en ocasiones puedo saborear el aire salado. En general, estos sentidos me ayudan a imaginar y sentir la presencia del océano en mi entorno."
"war","guerra","ABAM6298",35,"female","perceptual","No experimento la guerra a través del gusto, pero puedo oler el humo y la pólvora en algunas ocasiones, por lo que le doy un valor bajo en olfato. La guerra se asocia mucho con sonidos fuertes y explosiones, por eso la calificación en audición es alta. También puedo sentir vibraciones y sensaciones físicas relacionadas con el conflicto, por eso en tacto y sensaciones internas le doy valores moderados. La vista es importante porque muchas veces se perciben imágenes y escenas de guerra, por eso le asigno un valor medio. En general, la guerra se experimenta más a través de sonidos y sensaciones físicas que por otros sentidos."
"freshness","frescura","ABAM6298",35,"female","perceptual","Experimento la frescura principalmente a través del olfato, ya que los aromas frescos como el de hierbas o frutas me transmiten esa sensación. La vista también contribuye, ya que los colores y la apariencia de algo fresco suelen ser vibrantes y brillantes. En el tacto, la sensación de frescura se percibe en la temperatura y textura de objetos fríos o húmedos. La percepción gustativa es menor, pero puedo notar un sabor ligeramente refrescante en alimentos o bebidas frías. La sensación interna del cuerpo también puede reflejar frescura en la sensación de alivio o ligereza, aunque en menor medida. No percibo la frescura a través del oído, ya que no hay un sonido asociado con esa sensación."
"sponge","esponja","ABAM6298",35,"female","perceptual","Experimento la esponja principalmente a través del tacto, ya que es un objeto que se usa para limpiar y se siente suave y porosa. La vista también la involucra, pero en menor medida, ya que no es un objeto que destaque por su apariencia. La audición y el olfato no son relevantes en mi experiencia con una esponja, y las sensaciones internas son mínimas, aunque puedo sentir cierta tensión o presión al manipularla."
"death","muerte","ABAM6298",35,"female","perceptual","No experimento la muerte a través de los sentidos físicos, pero puedo sentir una sensación interna de vacío o pérdida emocional, por eso le asigné un valor bajo en interoceptivo."
"bright","brillante","ABAM6298",35,"female","perceptual","Experimento 'brillante' principalmente a través de la vista, ya que asocio la palabra con objetos o luces que reflejan luz y generan un brillo visible. En menor medida, puedo sentir una sensación interna de energía o entusiasmo (interoceptive) y una ligera percepción táctil cuando imagino superficies o objetos que reflejan luz. La percepción auditiva, olfativa y gustativa no están relacionadas con este concepto en mi experiencia cotidiana."
"flower","flor","ABAM6298",35,"female","perceptual","Experimento la flor principalmente a través de su vista y olfato, ya que su belleza y aroma son muy perceptibles para mí. La sensación en el cuerpo y el tacto son menos relevantes, aunque en algunos casos puedo tocarla, y el gusto y la audición no están relacionados con la percepción de una flor en mi experiencia cotidiana."
"miracle","milagro","ABAM6298",35,"female","perceptual","No experimento el concepto de 'milagro' a través de mis sentidos físicos, ya que es una idea abstracta y espiritual que no se relaciona con percepciones sensoriales directas. Solo puedo imaginarlo o sentirlo en un sentido emocional o espiritual, pero no a través de los sentidos físicos."
"treasure","tesoro","ABAM6298",35,"female","perceptual","Experimenté 'tesoro' principalmente a través del tacto, imaginando la sensación de algo valioso y sólido en las manos, y también visualmente, pensando en objetos brillantes o relucientes. La percepción auditiva y sensaciones internas son mínimas, ya que 'tesoro' es más una idea o concepto que se asocia con lo tangible y visual. No percibo olores ni sabores relacionados con la palabra."
"song","cancion","ABAM6298",35,"female","perceptual","Experimento la canción principalmente a través de la audición, ya que la escucho para disfrutarla o identificarla. La sensación en el cuerpo y el tacto son mínimas, y no suelo asociar la canción con el olfato o el gusto. La vista puede participar cuando la imagen o letra de la canción aparece en la mente, pero en menor medida."
