"Word","Word_Spanish","participant_id","age","sex","task_type","rationale"
"art","arte","ASPJ9545",42,"male","perceptual","El arte se experimenta principalmente de forma visual, como en pinturas o esculturas, y táctil al sentir texturas en obras tridimensionales. Puede evocar una reacción interna (emoción o maravilla) y a veces está ligado a sonidos, como en performances. El olfato y gusto son menos comunes, salvo en experiencias muy específicas como el olor a pintura fresca o a galería."
"power","poder","ASPJ9545",42,"male","perceptual","El 'poder' lo visualizo en símbolos como coronas o edificios altos, y lo escucho en órdenes firmes o discursos. Se siente al apretar el puño o erguir la postura, y tiene un gusto amargo o metálico por la ambición. Pero sobre todo es una sensación interna de fuerza, seguridad y dominio en el pecho y la postura, muy arraigada en la experiencia corporal."
"emptiness","vacio","ASPJ9545",42,"male","perceptual","El 'vacío' lo visualizo claramente como un espacio desolado o un recipiente sin contenido, y lo siento en el cuerpo como una opresión en el pecho o un hueco en el estómago. El tacto lo asocio con la falta de resistencia, como mover la mano en el aire. No tiene sabor, y el sonido que imagino es el silencio o un eco lejano. El olfato es casi nulo, quizá un aire muy estancado."
"journey","viaje","ASPJ9545",42,"male","perceptual","Como mexicano, un 'viaje' evoca fuertes imágenes visuales de paisajes, carreteras y destinos. Se siente en el cuerpo (cansancio, movimiento del autobús) y en el tacto (maletas, asientos). Los sonidos del camino son familiares, y a veces hay olores distintivos (comida callejera, gasolina). El gusto es menos relevante, aunque se asocia con sabores de comida típica del lugar visitado."
"ocean","oceano","ASPJ9545",42,"male","perceptual","Como mexicano, el océano evoca imágenes muy vívidas de las costas del Pacífico o el Caribe, de ahí el 5 en visual. El tacto (4) y el oído (4) son fuertes por la sensación del agua y el sonido de las olas. El olfato (3) es salado y a brisa marina. La interocepción (3) es por la sensación de tranquilidad o inmensidad. El gusto (1) es bajo, solo el sabor salado incidental."
"war","guerra","ASPJ9545",42,"male","perceptual","La guerra se asocia fuertemente con imágenes de destrucción y sonidos explosivos. Evoca una sensación corporal de tensión y angustia, el tacto del polvo y la vibración, y olores a humo y quemado. El gusto es menos directo, pero puede relacionarse con el sabor a tierra o miedo."
"freshness","frescura","ASPJ9545",42,"male","perceptual","La frescura la asocio mucho con lo visual (un paisaje verde, cielo despejado), el tacto (el aire fresco en la piel, una superficie fría) y el olfato (olor a lluvia, a hierba mojada). También tiene un componente gustativo fuerte (una fruta fresca, una bebida fría). La siento en el cuerpo como una sensación de alivio o liviandad. En cambio, casi no tiene un sonido específico, tal vez un viento suave."
"sponge","esponja","ASPJ9545",42,"male","perceptual","La esponja de cocina o baño se asocia fuertemente con su textura suave y absorbente al tacto, y con su apariencia porosa a la vista. Puede tener un olor leve a limpio o a humedad, dependiendo de su uso. El sonido es mínimo, quizás un leve crujido al apretarla. No tiene sabor y la sensación corporal interna es irrelevante, salvo la idea de limpieza."
"death","muerte","ASPJ9545",42,"male","perceptual","La 'muerte' se experimenta visualmente de forma intensa (imágenes de velorios, ataúdes, ausencia). La sensación interoceptiva es fuerte (vacío, opresión en el pecho). El tacto y el oído están presentes (frío del cuerpo, silencio o llanto). El olfato se asocia a flores de cempasúchil o incienso, y el gusto es casi irrelevante, salvo por un sabor amargo metafórico."
"bright","brillante","ASPJ9545",42,"male","perceptual","La palabra 'brillante' se asocia principalmente con la vista, como un objeto que refleja mucha luz. También puede tener una cualidad táctil, como una superficie pulida y lisa. En algunos contextos, un sonido 'brillante' es agudo o metálico. No tiene una relación directa con olfato, gusto o sensaciones internas, aunque algo brillante podría causar una leve sensación de asombro o admiración."
